num,neutral,positive,negative,skip,mark,adj,caps_lock,label
0,0.6859594583511353,0.053413331508636475,0.0,0.0,0,1,0,1
1,0.6992644667625427,0.0,0.20690405368804932,0.0,0,0,0,1
2,0.546748161315918,0.0,0.1732981950044632,0.0,0,0,0,1
3,0.4378334879875183,0.2509227991104126,0.0,0.0,0,0,0,1
4,0.5000100135803223,0.0,0.22816647589206696,0.0,0,0,0,1
5,0.4378334879875183,0.0,0.40734341740608215,0.0,0,0,0,1
6,0.6001983880996704,0.0,0.16886694729328156,0.0,0,0,0,1
7,0.5000100135803223,0.0,0.3557848632335663,0.0,0,0,0,1
8,0.6297846436500549,0.0,0.275139719247818,0.0,1,0,0,1
9,0.2568419873714447,0.0,0.2814156115055084,0.0,0,0,1,1
10,0.4843900501728058,0.0,0.24509501457214355,0.0,0,1,0,1
11,0.523430347442627,0.0,0.41490885615348816,0.0,0,0,0,1
12,0.5544804334640503,0.0,0.19194278120994568,0.0,0,0,0,1
13,0.6001983880996704,0.0,0.23371636867523193,0.0,0,0,0,1
14,0.4532718360424042,0.0,0.30736804008483887,0.0,0,0,0,1
15,0.4301573634147644,0.0,0.22816647589206696,0.0,0,1,0,1
16,0.7248802781105042,0.0,0.21207880973815918,0.0,0,0,0,1
17,0.523430347442627,0.0,0.22271016240119934,0.0,0,0,0,1
18,0.3276783227920532,0.2568419873714447,0.0,0.0,0,1,0,1
19,0.5621865391731262,0.0,0.18714269995689392,0.0,0,0,0,1
20,0.5698626637458801,0.0,0.3775506913661957,0.0,0,0,0,1
21,0.3998216390609741,0.0,0.3007555902004242,0.0,0,0,0,1
22,0.4378334879875183,0.0,0.22271016240119934,0.0,2,1,0,1
23,0.4765896201133728,0.0,0.23371636867523193,0.0,0,0,0,1
24,0.6442351341247559,0.0,0.23935934901237488,0.0,0,2,0,1
25,0.320831298828125,0.0,0.2568419873714447,0.0,2,3,0,1
26,0.523430347442627,0.0,0.22816647589206696,0.0,0,5,0,1
